Longitude,Latitude,Pixel,Scan
20.2299641,-5.98857767,2500,600
20.1940834,-5.98865957,2600,600
20.1582067,-5.98875235,2700,600
20.1223333,-5.98885601,2800,600
20.0864631,-5.98897054,2900,600
20.0505955,-5.98909595,3000,600
20.0147301,-5.98923223,3100,600
19.9788665,-5.98937939,3200,600
19.9430044,-5.98953742,3300,600
19.9071433,-5.98970633,3400,600
19.8712829,-5.98988611,3500,600
19.8354226,-5.99007677,3600,600
19.7995622,-5.99027831,3700,600
19.7637011,-5.99049073,3800,600
19.7278391,-5.99071403,3900,600
19.6923343,-5.99094583,3999,600
21.129228,-5.97474461,0,700
21.0931175,-5.97455246,100,700
21.0570212,-5.97437142,200,700
21.0209387,-5.97420147,300,700
20.9848695,-5.9740426,400,700
20.9488132,-5.97389479,500,700
20.9127694,-5.97375803,600,700
20.8767378,-5.97363231,700,700
20.8407177,-5.97351761,800,700
20.804709,-5.97341392,900,700
20.7687111,-5.97332124,1000,700
20.7327236,-5.97323955,1100,700
20.6967461,-5.97316884,1200,700
20.6607782,-5.9731091,1300,700
20.6248195,-5.97306032,1400,700
20.5888695,-5.9730225,1500,700
20.5529279,-5.97299562,1600,700
20.5169943,-5.97297967,1700,700
20.4810682,-5.97297466,1800,700
20.4451492,-5.97298057,1900,700
20.409237,-5.9729974,2000,700
20.373331,-5.97302513,2100,700
20.337431,-5.97306378,2200,700
20.3015364,-5.97311332,2300,700
20.2656469,-5.97317376,2400,700
20.2297621,-5.9732451,2500,700
20.1938816,-5.97332732,2600,700
20.1580049,-5.97342043,2700,700
20.1221317,-5.97352443,2800,700
20.0862616,-5.97363931,2900,700
20.050394,-5.97376507,3000,700
20.0145288,-5.97390171,3100,700
19.9786653,-5.97404923,3200,700
19.9428033,-5.97420763,3300,700
19.9069423,-5.97437691,3400,700
19.8710819,-5.97455708,3500,700
19.8352218,-5.97474813,3600,700
19.7993614,-5.97495006,3700,700
19.7635004,-5.97516289,3800,700
19.7276384,-5.9753866,3900,700
19.6921337,-5.97561881,3999,700
21.1290065,-5.9594095,0,800
21.0928962,-5.95921741,100,800
